school,conference,song_name,color_code,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,new_writers
Purdue,Big Ten,Hail Purdue,"rgb(206,184,136)",1912,1,1,0,160,86,0,0,1,0,0,0,1,0,0,0,2,1bYZgec19T5gQJAUeIzq9W,0.442,0.635,3,-10.193,1,0.0346,0.38299999999999995,0.0,0.174,0.9009999999999999,160.08,86693,4,James R. Morrison and Edward S. Wotawa
Rutgers,Big Ten,The Bells Must Ring,"rgb(204,0,51)",1931,1,1,1,75,74,1,10,1,1,1,1,1,1,0,1,8,7EdGMXzZjJKNHJaszbWTHi,0.46299999999999997,0.6459999999999999,10,-8.847999999999999,1,0.0352,0.583,0.9840000000000001,0.109,0.871,75.199,74720,4,Richard Hadden and W.E. Sanford
Wisconsin,Big Ten,"On, Wisconsin","rgb(197,5,12)",1909,0,1,0,132,134,1,5,0,1,0,0,0,1,0,0,3,4DmMOLdp4ZYvrAqemDBBbJ,0.615,0.815,5,-10.825,0,0.0672,0.912,0.919,0.075,0.516,131.543,134600,4,William Purdy and Carl Beck
Arizona,Pac-12,"Bear Down, Arizona","rgb(9,51,102)",1952,0,0,0,144,83,0,0,0,0,0,0,1,0,0,0,1,2ckfyC5awK1YD3kbOfCHeP,0.6990000000000001,0.49,10,-11.35,1,0.10300000000000001,0.649,0.0072900000000000005,0.271,0.804,143.725,83413,4,Jack K. Lee
Arizona State,Pac-12,Maroon and Gold,"rgb(140,29,64)",1948,0,1,0,150,106,1,3,1,0,0,0,1,0,0,1,4,138TmlsqwA1J0pGeJBoGUS,0.456,0.9790000000000001,5,-11.489,1,0.0636,0.53,0.24600000000000002,0.7709999999999999,0.0349,149.734,106400,4,Felix McKernan
California,Pac-12,Fight for California,"rgb(250,181,21)",1909,0,1,0,134,88,1,2,1,1,0,0,1,1,0,0,5,06Qz83gVtmHtWTClrucgjX,0.49200000000000005,0.885,3,-6.178,1,0.0329,0.97,0.985,0.24,0.6,133.607,88333,4,Earl Elleson McCoy and Robert N. Fitch
Colorado,Pac-12,Fight CU,"rgb(207,184,124)",Unknown,Unknown,1,0,151,27,1,8,1,1,0,0,0,0,0,1,4,0Q3VKlBT4lugyLG5n9LKIz,0.439,0.5429999999999999,5,-7.046,1,0.0454,0.35200000000000004,0.259,0.444,0.9670000000000001,151.106,27167,4,Richard Durnett
Oregon,Pac-12,Mighty Oregon,"rgb(16,78,54)",1916,1,1,0,65,80,1,2,1,1,0,0,0,1,1,0,5,4zPgdoDF3Od2dwQdPlGJtt,0.601,0.653,8,-11.119000000000002,1,0.0325,0.7809999999999999,0.007359999999999999,0.07200000000000001,0.809,65.483,80133,4,DeWitt Gilbert and Albert John Perfect
Oregon State,Pac-12,Hail to Old OSU,"rgb(221,66,0)",1914,0,1,0,137,63,1,2,0,0,0,0,0,0,0,1,2,4IV43tyrxewZDmBMp2rtHh,0.691,0.354,5,-9.665,1,0.0471,0.58,0.976,0.0676,0.35600000000000004,136.96,63948,4,Harold Wilkins
Stanford,Pac-12,Come Join the Band,"rgb(140,20,21)",1907,1,1,0,135,63,0,0,0,1,0,0,1,1,0,0,3,3Zw53YIiVtdcQBmwbBQ2JS,0.7020000000000001,0.598,3,-15.048,1,0.0368,0.907,0.23,0.303,0.8059999999999999,135.249,63933,4,"Aurania Ellerbeck Rouverol, Robert Browne Hall"
UCLA,Pac-12,Sons of Westwood,"rgb(40,116,175)",1959,0,1,0,72,69,1,3,0,0,0,0,1,1,1,1,5,0XxQcPAThn9dOZ6NVFUfGl,0.547,0.586,3,-8.792,1,0.0309,0.748,0.831,0.133,0.631,71.931,69400,4, Harold P. Williams and N. Loyall McLaren; Kelly James
USC,Pac-12,"Fight On, USC","rgb(157,34,54)",1922,1,1,1,75,60,1,5,1,1,0,0,0,1,0,1,5,23EM48kuqZWVltXE9bApcK,0.611,0.7020000000000001,5,-11.628,0,0.0791,0.46399999999999997,0.40299999999999997,0.9359999999999999,0.33,75.17,60947,4,Milo Sweet
Utah,Pac-12,Utah Man,"rgb(204,0,1)",1904,0,1,0,168,66,1,1,0,0,0,1,1,1,0,0,4,5pwoauvjUb3aRkDDvibaco,0.772,0.562,10,-11.03,1,0.10099999999999999,0.763,0.00198,0.231,0.953,167.542,66600,4,Harvey Holmes and the football team
Washington,Pac-12,Bow Down to Washington,"rgb(51,57,116)",1915,0,1,1,139,89,1,1,1,0,1,0,1,0,0,0,4,0OLQPcJ1jMwrXJbt81hHrx,0.527,0.748,0,-10.004,1,0.040999999999999995,0.41700000000000004,6.32e-05,0.237,0.929,138.998,89813,4,Lester J. Wilson
Washington State,Pac-12,The Fight Song,"rgb(152,30,50)",1919,1,1,0,81,64,1,7,1,1,0,0,1,0,0,1,5,5VErX42t9bSJGas8aOtQyD,0.6809999999999999,0.85,9,-10.032,1,0.0917,0.9840000000000001,0.625,0.43200000000000005,0.87,81.015,64973,4,Zella Melcher and Phyllis Sayles
Alabama,SEC,Yea Alabama,"rgb(160,7,46)",1926,1,1,1,153,59,1,3,1,1,0,0,1,1,1,0,6,1lkKK6lbsPYD6n5QZbiH1q,0.711,0.45,8,-12.36,1,0.213,0.465,0.782,0.207,0.631,153.264,59387,4,Ethelred Lundy (Epp) Sykes
Arkansas,SEC,Arkansas Fight,"rgb(157,34,54)",1913,1,1,0,77,88,1,3,0,0,1,0,0,0,0,1,3,20iLjYvQOdAO3lPYkfycGn,0.489,0.815,3,-12.311,0,0.0379,0.107,0.591,0.9540000000000001,0.48100000000000004,77.105,88067,4,William Edwin Douglass
Auburn,SEC,War Eagle,"rgb(5,36,77)",1955,0,1,0,77,27,1,1,1,1,0,0,1,0,0,0,4,1WSPADIiYIO5GfNTJ2vwnM,0.877,0.635,10,-11.244000000000002,1,0.111,0.9229999999999999,0.621,0.166,0.672,76.503,27827,3,Robert Allen and Al Stillman
Florida,SEC,The Orange and Blue,"rgb(242,99,33)",1925,0,1,0,71,66,1,1,0,0,0,0,1,0,0,0,2,15yyBZUfgNbft50mMB7a4V,0.629,0.657,10,-10.578,1,0.028999999999999998,0.732,0.963,0.262,0.42,71.196,66507,4,George Hamilton and Thornton Whitney Allen
Georgia,SEC,"Glory, Glory","rgb(186,12,47)",1915,1,0,0,162,41,0,0,0,0,0,0,0,0,0,1,1,7masdC1Jz6f4okFu4tAwOz,0.523,0.537,10,-11.209000000000001,1,0.608,0.759,0.9129999999999999,0.31,0.485,161.55700000000002,41947,4,"Hugh Hodgson, based on traditional song"
Kentucky,SEC,On! On! U of K,"rgb(10,51,160)",1923,1,1,1,79,52,1,4,1,1,0,0,1,0,0,1,5,6QMYhg8EaZm7P1n4FZrCWB,0.6859999999999999,0.594,7,-10.017999999999999,0,0.0689,0.698,0.992,0.0778,0.938,79.135,52467,4,Troy Perkins and Charles A. Lampert
LSU,SEC,Fight for LSU,"rgb(78,42,132)",1937,0,1,0,168,83,1,5,0,1,1,0,1,0,0,1,5,5AeAxCC07c4eyWY8eKopQ4,0.528,0.823,10,-10.462,1,0.0496,0.7909999999999999,0.988,0.326,0.9109999999999999,168.297,83333,4,Castro Carazo and W.G. Higginbotham
Mississippi,SEC,Forward Rebels,"rgb(230,24,55)",Unknown,Unknown,1,0,153,65,1,6,1,1,0,0,1,0,0,0,4,301ClIQs4cI8poO11mklxg,0.6609999999999999,0.873,8,-7.782,1,0.0483,0.606,0.0042,0.34,0.509,153.208,65133,4,E.F. Yerby
Mississippi State,SEC,Hail State,"rgb(102,0,0)",1936,0,1,1,146,54,1,2,1,1,0,0,0,0,0,1,4,3WN6SK7WfjUSRDFH4PlMNV,0.8170000000000001,0.78,3,-9.206,1,0.0604,0.77,0.166,0.222,0.9670000000000001,145.738,54920,4,Joseph Peavey
Missouri,SEC,Fight Tiger,"rgb(241,186,41)",1946,1,1,1,138,86,1,4,1,1,0,0,0,0,0,0,3,4nrVmzJetWGvMa3OKGJm2Q,0.614,0.426,4,-21.438000000000002,1,0.057999999999999996,0.888,0.0103,0.322,0.833,138.072,86053,4,Donald MacKay and Robert Karsch
South Carolina,SEC,The Fighting Gamecocks Lead the Way (Step to the Rear),"rgb(115,0,10)",1968,0,1,0,153,64,1,4,0,1,0,0,1,0,0,1,4,65X66oBRmSp8gDkoRGbLjD,0.384,0.892,5,-13.13,0,0.0425,0.716,0.887,0.23600000000000002,0.31,152.602,64013,4,"Paul Dietzel and Elmer Bernstein, arranged by James Pritchard"
Tennessee,SEC,Rocky Top,"rgb(249,131,1)",1967,0,0,0,149,53,0,0,0,0,0,0,0,0,0,0,0,5BRY9YO0PDey8RQcDOV9aP,0.6409999999999999,0.9540000000000001,10,-5.861000000000001,0,0.046,0.802,0.9790000000000001,0.266,0.363,148.872,53080,4,Felice and Boudleaux Bryant
Texas A&M,SEC,Aggie War Hymn,"rgb(80,0,0)",1918,1,0,1,117,172,1,1,0,0,0,1,0,1,1,0,4,4mssGSMkmNIv0XR5e6j9Ky,0.695,0.938,5,-6.1770000000000005,0,0.0703,0.825,0.981,0.0553,0.44,116.956,172347,4,J.V. “Pinky” Wilson
Vanderbilt,SEC,Dynamite,"rgb(183,134,6)",1941,0,1,0,72,45,1,3,1,1,0,0,0,0,0,0,3,5tXWqJHiTDHRYtOngsBPAW,0.441,0.626,5,-8.177999999999999,0,0.0915,0.28600000000000003,0.0011099999999999999,0.33,0.7390000000000001,71.875,45427,4,Francis Craig
Boston College,ACC,For Boston,"rgb(123,0,44)",Unknown,0,1,0,147,84,0,0,0,0,0,0,0,0,0,0,0,4E8cLR6NcYCCJWqD2iwz7c,0.649,0.9840000000000001,10,-9.141,1,0.0483,0.831,0.9590000000000001,0.349,0.532,147.26,84167,4,T.J. Hurley
Clemson,ACC,Tiger Rag,"rgb(242,104,42)",1917,0,1,0,145,78,0,0,0,0,0,0,0,0,0,1,1,7hGtgN4N9ebZTlC7xhvKIE,0.491,0.762,2,-9.089,0,0.0346,0.261,0.988,0.168,0.675,145.158,78653,4,Original Dixieland Jass Band
Duke,ACC,Fight Blue Devils,"rgb(8,44,137)",1947,0,1,0,139,58,1,5,0,1,0,0,1,0,1,0,4,0fDiYvMTYWSSrIuHVJGMZj,0.409,0.866,8,-7.721,1,0.033,0.13699999999999998,0.966,0.354,0.42200000000000004,139.156,58540,4,Joe Hewitt and Doug Ballin
Florida State,ACC,FSU Fight Song,"rgb(95,45,54)",1950,1,1,0,135,92,1,6,1,1,0,1,0,0,0,1,5,552UZRLtAO5YXvIVRLjphI,0.66,0.557,3,-11.388,0,0.0324,0.679,0.8340000000000001,0.204,0.7140000000000001,135.07299999999998,92321,4,Doug Alley and Tommie Wright
