,school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
22,Purdue,Big Ten,Hail Purdue,James R. Morrison and Edward S. Wotawa,1912,1,1,0,160,86,0,0,1,0,0,0,1,0,0,0,2,1bYZgec19T5gQJAUeIzq9W,0.442,0.635,3,-10.193,1,0.0346,0.383,0.0,0.174,0.901,160.08,86693,4,0.442,0.635,3,-10.193,1,0.0346,0.383,0.0,0.174,0.901,160.08,86693,4,0.442,0.635,3,-10.193,1,0.0346,0.383,0.0,0.174,0.901,160.08,86693,4
23,Rutgers,Big Ten,The Bells Must Ring,Richard Hadden and W.E. Sanford,1931,1,1,1,75,74,1,10,1,1,1,1,1,1,0,1,8,7EdGMXzZjJKNHJaszbWTHi,0.463,0.646,10,-8.848,1,0.0352,0.583,0.984,0.109,0.871,75.199,74720,4,0.463,0.646,10,-8.848,1,0.0352,0.583,0.984,0.109,0.871,75.199,74720,4,0.463,0.646,10,-8.848,1,0.0352,0.583,0.984,0.109,0.871,75.199,74720,4
24,Wisconsin,Big Ten,"On, Wisconsin",William Purdy and Carl Beck,1909,0,1,0,132,134,1,5,0,1,0,0,0,1,0,0,3,4DmMOLdp4ZYvrAqemDBBbJ,0.615,0.815,5,-10.825,0,0.0672,0.912,0.919,0.075,0.516,131.543,134600,4,0.615,0.815,5,-10.825,0,0.0672,0.912,0.919,0.075,0.516,131.543,134600,4,0.615,0.815,5,-10.825,0,0.0672,0.912,0.919,0.075,0.516,131.543,134600,4
25,Arizona,Pac-12,"Bear Down, Arizona",Jack K. Lee,1952,0,0,0,144,83,0,0,0,0,0,0,1,0,0,0,1,2ckfyC5awK1YD3kbOfCHeP,0.699,0.49,10,-11.35,1,0.103,0.649,0.00729,0.271,0.804,143.725,83413,4,0.699,0.49,10,-11.35,1,0.103,0.649,0.00729,0.271,0.804,143.725,83413,4,0.699,0.49,10,-11.35,1,0.103,0.649,0.00729,0.271,0.804,143.725,83413,4
26,Arizona State,Pac-12,Maroon and Gold,Felix McKernan,1948,0,1,0,150,106,1,3,1,0,0,0,1,0,0,1,4,138TmlsqwA1J0pGeJBoGUS,0.456,0.979,5,-11.489,1,0.0636,0.53,0.246,0.771,0.0349,149.734,106400,4,0.456,0.979,5,-11.489,1,0.0636,0.53,0.246,0.771,0.0349,149.734,106400,4,0.456,0.979,5,-11.489,1,0.0636,0.53,0.246,0.771,0.0349,149.734,106400,4
27,California,Pac-12,Fight for California,Earl Elleson McCoy and Robert N. Fitch,1909,0,1,0,134,88,1,2,1,1,0,0,1,1,0,0,5,06Qz83gVtmHtWTClrucgjX,0.492,0.885,3,-6.178,1,0.0329,0.97,0.985,0.24,0.6,133.607,88333,4,0.492,0.885,3,-6.178,1,0.0329,0.97,0.985,0.24,0.6,133.607,88333,4,0.492,0.885,3,-6.178,1,0.0329,0.97,0.985,0.24,0.6,133.607,88333,4
28,Colorado,Pac-12,Fight CU,Richard Durnett,Unknown,Unknown,1,0,151,27,1,8,1,1,0,0,0,0,0,1,4,0Q3VKlBT4lugyLG5n9LKIz,0.439,0.543,5,-7.046,1,0.0454,0.352,0.259,0.444,0.967,151.106,27167,4,0.439,0.543,5,-7.046,1,0.0454,0.352,0.259,0.444,0.967,151.106,27167,4,0.439,0.543,5,-7.046,1,0.0454,0.352,0.259,0.444,0.967,151.106,27167,4
29,Oregon,Pac-12,Mighty Oregon,DeWitt Gilbert and Albert John Perfect,1916,1,1,0,65,80,1,2,1,1,0,0,0,1,1,0,5,4zPgdoDF3Od2dwQdPlGJtt,0.601,0.653,8,-11.119,1,0.0325,0.781,0.00736,0.072,0.809,65.483,80133,4,0.601,0.653,8,-11.119,1,0.0325,0.781,0.00736,0.072,0.809,65.483,80133,4,0.601,0.653,8,-11.119,1,0.0325,0.781,0.00736,0.072,0.809,65.483,80133,4
30,Oregon State,Pac-12,Hail to Old OSU,Harold Wilkins,1914,0,1,0,137,63,1,2,0,0,0,0,0,0,0,1,2,4IV43tyrxewZDmBMp2rtHh,0.691,0.354,5,-9.665,1,0.0471,0.58,0.976,0.0676,0.356,136.96,63948,4,0.691,0.354,5,-9.665,1,0.0471,0.58,0.976,0.0676,0.356,136.96,63948,4,0.691,0.354,5,-9.665,1,0.0471,0.58,0.976,0.0676,0.356,136.96,63948,4
31,Stanford,Pac-12,Come Join the Band,"Aurania Ellerbeck Rouverol, Robert Browne Hall",1907,1,1,0,135,63,0,0,0,1,0,0,1,1,0,0,3,3Zw53YIiVtdcQBmwbBQ2JS,0.702,0.598,3,-15.048,1,0.0368,0.907,0.23,0.303,0.806,135.249,63933,4,0.702,0.598,3,-15.048,1,0.0368,0.907,0.23,0.303,0.806,135.249,63933,4,0.702,0.598,3,-15.048,1,0.0368,0.907,0.23,0.303,0.806,135.249,63933,4
